iter	Passed	Remaining
0	2	204
1	4	211
2	5	187
3	6	166
4	9	176
5	11	174
6	12	165
7	13	158
8	15	153
9	16	149
10	18	149
11	20	148
12	21	143
13	23	142
14	24	139
15	25	135
16	27	131
17	28	128
18	29	127
19	31	126
20	33	126
21	35	124
22	37	125
23	39	124
24	41	123
25	42	120
26	44	118
27	45	116
28	46	114
29	48	114
30	50	111
31	51	110
32	53	108
33	54	105
34	55	103
35	57	101
36	58	100
37	60	97
38	61	95
39	62	94
40	64	92
41	65	89
42	66	88
43	67	86
44	68	84
45	70	82
46	71	81
47	73	79
48	74	77
49	75	75
50	77	74
51	79	73
52	81	72
53	83	70
54	84	69
55	86	67
56	87	65
57	88	64
58	89	62
59	91	60
60	93	59
61	94	58
62	96	56
63	97	54
64	98	53
65	100	51
66	101	50
67	103	48
68	104	46
69	105	45
70	108	44
71	109	42
72	110	40
73	111	39
74	113	37
75	114	36
76	116	34
77	117	33
78	118	31
79	119	29
80	121	28
81	123	27
82	124	25
83	125	23
84	126	22
85	128	20
86	129	19
87	131	17
88	132	16
89	133	14
90	135	13
91	136	11
92	137	10
93	138	8
94	140	7
95	141	5
96	142	4
97	144	2
98	145	1
99	146	0
