iter	Passed	Remaining
0	146	145899
1	147	73544
2	148	49397
3	149	37314
4	152	30388
5	154	25600
6	155	22117
7	157	19516
8	158	17492
9	160	15871
10	161	14543
11	163	13431
12	164	12487
13	167	11831
14	170	11187
15	171	10570
16	173	10015
17	174	9512
18	175	9064
19	176	8661
20	178	8299
21	179	7967
22	182	7768
23	184	7501
24	185	7244
25	187	7011
26	188	6787
27	189	6579
28	190	6385
29	191	6204
30	193	6035
31	194	5886
32	197	5788
33	199	5657
34	200	5530
35	202	5414
36	203	5298
37	204	5188
38	206	5085
39	208	4995
40	210	4915
41	212	4847
42	214	4764
43	215	4683
44	216	4603
45	218	4527
46	219	4455
47	221	4385
48	222	4314
49	223	4246
50	225	4205
51	227	4145
52	228	4087
53	230	4029
54	231	3976
55	232	3922
56	233	3869
57	235	3821
58	236	3775
59	238	3730
60	240	3708
61	242	3671
62	244	3631
63	245	3592
64	247	3553
65	248	3514
66	249	3477
67	251	3442
68	252	3406
69	254	3378
70	256	3356
71	258	3327
72	259	3297
73	261	3269
74	262	3241
75	264	3218
76	266	3191
77	267	3163
78	270	3151
79	271	3126
80	274	3112
81	276	3090
82	277	3065
83	279	3046
84	281	3034
85	285	3030
86	287	3013
87	288	2991
88	290	2971
89	291	2948
90	293	2926
91	294	2906
92	295	2886
93	297	2865
94	301	2870
95	303	2855
96	304	2837
97	306	2820
98	308	2804
99	310	2798
100	312	2785
101	318	2800
102	321	2802
103	325	2801
104	328	2802
105	332	2804
106	334	2788
107	335	2771
108	337	2757
109	342	2769
110	346	2774
111	348	2765
112	352	2769
113	355	2760
114	356	2746
115	358	2732
116	361	2728
117	366	2742
118	369	2738
119	373	2737
120	378	2747
121	379	2734
122	382	2730
123	384	2718
124	386	2708
125	388	2695
126	390	2686
127	392	2675
128	394	2663
129	396	2650
130	397	2636
131	398	2623
132	400	2610
133	401	2596
134	403	2584
135	406	2579
136	408	2572
137	410	2564
138	412	2552
139	413	2540
140	423	2580
141	425	2570
142	427	2562
143	429	2554
144	434	2561
145	436	2555
146	439	2552
147	442	2546
148	444	2540
149	452	2563
150	454	2557
151	457	2549
152	459	2542
153	461	2535
154	464	2531
155	466	2523
156	467	2512
157	469	2502
158	471	2492
159	472	2481
160	473	2467
161	475	2458
162	480	2469
163	483	2466
164	486	2463
165	488	2453
166	489	2443
167	491	2436
168	494	2429
169	495	2419
170	497	2409
171	499	2402
172	500	2392
173	502	2383
174	503	2374
175	505	2365
176	507	2359
177	509	2351
178	510	2342
179	512	2334
180	513	2325
181	516	2320
182	517	2311
183	519	2302
184	522	2300
185	523	2291
186	525	2283
187	526	2275
188	529	2270
189	530	2263
190	532	2256
191	534	2249
192	538	2252
193	540	2244
194	541	2237
195	543	2229
196	545	2224
197	547	2216
198	549	2210
199	554	2218
200	556	2211
201	557	2204
202	559	2196
203	561	2189
204	562	2182
205	564	2176
206	566	2169
207	567	2162
208	569	2154
209	571	2148
210	572	2141
211	574	2135
212	575	2127
213	577	2120
214	580	2120
215	582	2115
216	584	2109
217	586	2102
218	587	2096
219	590	2093
220	599	2113
221	601	2107
222	602	2100
223	615	2130
224	619	2133
225	623	2133
226	624	2126
227	629	2130
228	630	2123
229	632	2116
230	633	2109
231	635	2102
232	636	2096
233	638	2089
234	639	2082
235	641	2077
236	643	2071
237	645	2065
238	646	2058
239	647	2051
240	649	2045
241	650	2038
242	652	2031
243	655	2030
244	656	2023
245	658	2017
246	659	2010
247	660	2003
248	662	1996
249	663	1990
250	664	1983
251	666	1977
252	667	1970
253	670	1968
254	671	1963
255	673	1958
256	675	1952
257	676	1945
258	677	1939
259	679	1933
260	680	1927
261	682	1921
262	685	1920
263	687	1915
264	688	1910
265	690	1905
266	707	1941
267	708	1935
268	715	1944
269	717	1940
270	719	1935
271	721	1930
272	723	1925
273	724	1920
274	728	1920
275	730	1915
276	732	1910
277	733	1905
278	735	1901
279	737	1896
280	739	1892
281	742	1890
282	744	1885
283	746	1881
284	747	1876
285	769	1921
286	771	1916
287	776	1918
288	778	1914
289	790	1935
290	792	1930
291	793	1924
292	795	1920
293	797	1914
294	799	1909
295	814	1936
296	816	1931
297	817	1926
298	819	1921
299	823	1920
300	825	1918
301	827	1912
302	828	1906
303	830	1900
304	831	1894
305	833	1889
306	834	1883
307	837	1881
308	838	1875
309	840	1870
310	841	1864
311	847	1868
312	852	1871
313	854	1867
314	856	1862
315	858	1857
316	859	1852
317	861	1847
318	863	1842
319	864	1838
320	874	1849
321	876	1845
322	878	1840
323	879	1835
324	881	1830
325	883	1825
326	884	1820
327	885	1815
328	887	1809
329	888	1804
330	890	1799
331	891	1793
332	892	1788
333	894	1783
334	897	1781
335	898	1775
336	899	1770
337	900	1764
338	902	1758
339	903	1753
340	904	1747
341	905	1742
342	906	1737
343	908	1731
344	909	1726
345	911	1722
346	912	1717
347	913	1712
348	914	1706
349	916	1701
350	917	1696
351	918	1690
352	919	1685
353	921	1680
354	922	1676
355	924	1672
356	926	1668
357	927	1663
358	928	1658
359	929	1653
360	931	1648
361	932	1642
362	933	1638
363	934	1633
364	936	1628
365	937	1623
366	940	1621
367	941	1616
368	942	1611
369	943	1606
370	944	1602
371	946	1597
372	947	1592
373	948	1587
374	949	1583
375	951	1578
376	952	1573
377	955	1571
378	957	1568
379	958	1563
380	960	1559
381	961	1555
382	963	1552
383	965	1548
384	966	1544
385	969	1542
386	971	1538
387	972	1534
388	974	1530
389	975	1525
390	977	1521
391	978	1517
392	980	1515
393	982	1510
394	984	1508
395	986	1504
396	987	1500
397	989	1496
398	991	1493
399	993	1490
400	994	1486
401	996	1481
402	1000	1481
403	1001	1477
404	1004	1475
405	1007	1473
406	1009	1470
407	1010	1466
408	1013	1464
409	1015	1461
410	1017	1458
411	1019	1455
412	1021	1451
413	1023	1448
414	1024	1444
415	1030	1446
416	1032	1443
417	1035	1441
418	1037	1438
419	1038	1434
420	1039	1430
421	1041	1426
422	1043	1423
423	1045	1420
424	1048	1418
425	1053	1419
426	1056	1417
427	1061	1418
428	1065	1418
429	1070	1419
430	1076	1421
431	1081	1421
432	1083	1418
433	1086	1416
434	1095	1423
435	1097	1420
436	1100	1417
437	1103	1415
438	1107	1415
439	1109	1412
440	1112	1409
441	1114	1407
442	1117	1404
443	1122	1405
444	1124	1402
445	1126	1399
446	1128	1396
447	1130	1392
448	1132	1389
449	1141	1395
450	1148	1398
451	1150	1395
452	1154	1394
453	1156	1390
454	1158	1387
455	1160	1384
456	1162	1381
457	1165	1378
458	1173	1383
459	1176	1380
460	1180	1380
461	1185	1380
462	1188	1378
463	1190	1375
464	1192	1372
465	1195	1369
466	1197	1366
467	1203	1367
468	1205	1365
469	1208	1362
470	1210	1359
471	1212	1355
472	1216	1354
473	1217	1351
474	1219	1348
475	1221	1344
476	1223	1341
477	1225	1337
478	1227	1334
479	1231	1333
480	1233	1330
481	1235	1328
482	1237	1324
483	1240	1322
484	1242	1319
485	1246	1318
486	1248	1315
487	1250	1311
488	1251	1308
489	1253	1304
490	1255	1301
491	1256	1297
492	1260	1295
493	1262	1292
494	1264	1289
495	1266	1287
496	1269	1284
497	1271	1281
498	1272	1277
499	1276	1276
500	1278	1273
501	1280	1270
502	1282	1267
503	1284	1263
504	1285	1260
505	1286	1256
506	1290	1254
507	1292	1251
508	1293	1247
509	1295	1244
510	1296	1240
511	1298	1237
512	1299	1233
513	1300	1230
514	1302	1226
515	1305	1224
516	1306	1220
517	1307	1217
518	1309	1213
519	1310	1210
520	1312	1206
521	1314	1203
522	1315	1199
523	1316	1196
524	1319	1194
525	1321	1191
526	1323	1187
527	1325	1184
528	1327	1181
529	1329	1178
530	1330	1175
531	1332	1172
532	1337	1172
533	1340	1169
534	1342	1167
535	1344	1164
536	1346	1160
537	1347	1157
538	1350	1155
539	1354	1153
540	1355	1150
541	1360	1149
542	1361	1146
543	1366	1145
544	1368	1142
545	1370	1139
546	1373	1137
547	1375	1134
548	1376	1131
549	1378	1127
550	1382	1126
551	1387	1126
552	1390	1123
553	1392	1121
554	1396	1119
555	1399	1117
556	1416	1126
557	1419	1124
558	1421	1121
559	1424	1119
560	1429	1118
561	1432	1116
562	1435	1113
563	1438	1111
564	1440	1109
565	1444	1107
566	1447	1105
567	1449	1102
568	1451	1099
569	1453	1096
570	1455	1093
571	1459	1091
572	1461	1088
573	1462	1085
574	1464	1082
575	1465	1078
576	1467	1075
577	1468	1072
578	1469	1068
579	1475	1068
580	1477	1065
581	1478	1062
582	1480	1058
583	1482	1055
584	1483	1052
585	1485	1049
586	1488	1047
587	1490	1044
588	1495	1043
589	1497	1040
590	1500	1038
591	1501	1035
592	1503	1032
593	1506	1029
594	1508	1026
595	1509	1023
596	1511	1020
597	1513	1017
598	1516	1015
599	1518	1012
600	1520	1009
601	1521	1006
602	1523	1002
603	1525	1000
604	1527	997
605	1532	996
606	1533	993
607	1535	990
608	1537	987
609	1540	984
610	1543	982
611	1546	980
612	1548	977
613	1550	974
614	1552	971
615	1553	968
616	1556	966
617	1559	963
618	1560	960
619	1562	957
620	1563	954
621	1565	951
622	1566	947
623	1567	944
624	1569	941
625	1570	938
626	1573	935
627	1574	932
628	1577	930
629	1582	929
630	1589	929
631	1592	927
632	1594	924
633	1596	921
634	1598	918
635	1600	915
636	1602	913
637	1604	910
638	1606	907
639	1608	904
640	1610	901
641	1612	899
642	1614	896
643	1615	893
644	1617	890
645	1619	887
646	1621	884
647	1627	884
648	1629	881
649	1631	878
650	1634	876
651	1637	873
652	1639	871
653	1641	868
654	1643	865
655	1644	862
656	1646	859
657	1648	856
658	1650	853
659	1652	851
660	1654	848
661	1656	845
662	1657	842
663	1658	839
664	1660	836
665	1661	833
666	1663	830
667	1665	827
668	1666	824
669	1668	821
670	1669	818
671	1671	815
672	1672	812
673	1674	809
674	1675	806
675	1677	803
676	1679	801
677	1680	798
678	1682	795
679	1683	792
680	1684	789
681	1686	786
682	1687	783
683	1688	780
684	1689	776
685	1690	773
686	1693	771
687	1694	768
688	1696	765
689	1697	762
690	1699	759
691	1700	756
692	1701	753
693	1702	750
694	1703	747
695	1705	744
696	1708	742
697	1710	739
698	1711	737
699	1712	734
700	1714	731
701	1715	728
702	1716	725
703	1717	722
704	1718	719
705	1720	716
706	1722	713
707	1724	711
708	1725	708
709	1727	705
710	1728	702
711	1729	699
712	1730	696
713	1732	693
714	1733	690
715	1734	687
716	1736	685
717	1738	682
718	1739	679
719	1741	677
720	1742	674
721	1743	671
722	1744	668
723	1745	665
724	1747	662
725	1748	659
726	1749	656
727	1752	654
728	1754	652
729	1756	649
730	1757	646
731	1758	644
732	1760	641
733	1761	638
734	1762	635
735	1764	632
736	1768	631
737	1770	628
738	1773	626
739	1774	623
740	1775	620
741	1777	618
742	1780	615
743	1782	613
744	1784	610
745	1787	608
746	1788	605
747	1789	603
748	1791	600
749	1792	597
750	1794	594
751	1796	592
752	1798	589
753	1801	587
754	1803	585
755	1805	582
756	1808	580
757	1811	578
758	1815	576
759	1817	573
760	1818	571
761	1820	568
762	1823	566
763	1824	563
764	1828	561
765	1831	559
766	1833	556
767	1834	554
768	1836	551
769	1837	548
770	1839	546
771	1841	544
772	1843	541
773	1845	538
774	1847	536
775	1848	533
776	1850	531
777	1852	528
778	1854	526
779	1856	523
780	1858	521
781	1860	518
782	1861	516
783	1863	513
784	1865	510
785	1866	508
786	1868	505
787	1870	503
788	1872	500
789	1874	498
790	1875	495
791	1876	492
792	1878	490
793	1879	487
794	1881	485
795	1882	482
796	1884	479
797	1887	477
798	1893	476
799	1895	473
800	1896	471
801	1897	468
802	1900	466
803	1902	463
804	1904	461
805	1906	458
806	1908	456
807	1909	453
808	1911	451
809	1914	449
810	1917	446
811	1921	444
812	1923	442
813	1925	439
814	1927	437
815	1933	435
816	1935	433
817	1936	430
818	1938	428
819	1940	425
820	1941	423
821	1943	420
822	1947	418
823	1949	416
824	1950	413
825	1952	411
826	1953	408
827	1955	406
828	1958	403
829	1962	402
830	1964	399
831	1966	397
832	1969	394
833	1970	392
834	1972	389
835	1975	387
836	1977	385
837	1979	382
838	1981	380
839	1982	377
840	1984	375
841	1986	372
842	1987	370
843	1990	367
844	1992	365
845	1994	362
846	1995	360
847	1997	357
848	1998	355
849	1999	352
850	2001	350
851	2002	347
852	2004	345
853	2006	343
854	2008	340
855	2009	338
856	2011	335
857	2012	333
858	2013	330
859	2015	328
860	2016	325
861	2018	323
862	2021	320
863	2022	318
864	2023	315
865	2026	313
866	2028	311
867	2031	308
868	2033	306
869	2036	304
870	2040	302
871	2045	300
872	2047	297
873	2051	295
874	2053	293
875	2055	290
876	2057	288
877	2058	286
878	2060	283
879	2061	281
880	2063	278
881	2065	276
882	2067	274
883	2069	271
884	2070	269
885	2072	266
886	2074	264
887	2075	261
888	2076	259
889	2078	256
890	2081	254
891	2082	252
892	2088	250
893	2093	248
894	2096	246
895	2099	243
896	2100	241
897	2103	238
898	2105	236
899	2110	234
900	2112	232
901	2114	229
902	2116	227
903	2118	224
904	2119	222
905	2121	220
906	2123	217
907	2126	215
908	2129	213
909	2131	210
910	2132	208
911	2134	205
912	2135	203
913	2137	201
914	2138	198
915	2141	196
916	2143	194
917	2145	191
918	2146	189
919	2148	186
920	2149	184
921	2151	181
922	2152	179
923	2155	177
924	2157	174
925	2159	172
926	2160	170
927	2161	167
928	2163	165
929	2164	162
930	2166	160
931	2168	158
932	2171	155
933	2173	153
934	2174	151
935	2176	148
936	2177	146
937	2179	144
938	2180	141
939	2182	139
940	2184	136
941	2186	134
942	2187	132
943	2188	129
944	2190	127
945	2191	125
946	2192	122
947	2194	120
948	2195	117
949	2198	115
950	2200	113
951	2201	111
952	2203	108
953	2204	106
954	2205	103
955	2206	101
956	2207	99
957	2209	96
958	2210	94
959	2214	92
960	2216	89
961	2219	87
962	2222	85
963	2224	83
964	2225	80
965	2228	78
966	2231	76
967	2232	73
968	2234	71
969	2236	69
970	2238	66
971	2240	64
972	2245	62
973	2246	59
974	2248	57
975	2249	55
976	2251	53
977	2252	50
978	2254	48
979	2259	46
980	2261	43
981	2263	41
982	2265	39
983	2267	36
984	2268	34
985	2271	32
986	2273	29
987	2275	27
988	2276	25
989	2278	23
990	2279	20
991	2281	18
992	2282	16
993	2286	13
994	2287	11
995	2289	9
996	2293	6
997	2295	4
998	2296	2
999	2298	0
